"Sutra krama","Akaaraadi krama","Kaumudi krama","Sutra","PadacCheda",
"11002","134","17","अदेङ् गुणः","अदेङ्+गुणः",
"11006","1876","2190","दीधीवेवीटाम्","दीधीवेवीटाम्",
"11009","1759","10","तुल्यास्यप्रयत्नं सवर्णम्","तुल्यास्यप्रयत्नं+सवर्णम्",
"11011","683","100","ईदूदेद्द्विवचनं प्रगृह्यम्","ईदूदेद्+द्विवचनं+प्रगृह्यम्",
"11013","3424","102","शे","शे",
"11015","936","104","ओत्","ओत्",
"11017","702","106","उञः","उञः",
"11018","829","107","ऊँ","ऊँ",
"11019","682","109","ईदूतौ च सप्तम्यर्थे","ईदूतौ+च+सप्तम्यर्थे",
"11022","1674","2003","तरप्तमपौ घः","तरप्तमपौ+घः",
"11023","2583","258","बहुगणवतुडति संख्या","बहुगणवतुडति+संख्या",
"11024","3500","369","ष्णान्ता षट्","ष्णान्ता+षट्",
"11025","1569","259","डति च","डति+च",
"11026","1177","3012","क्तक्तवतू निष्ठा","क्तक्तवतू+निष्ठा",
"11027","3690","213","सर्वादीनि सर्वनामानि","सर्वादीनि+सर्वनामानि",
"11028","3206","292","विभाषा दिक्समासे बहुव्रीहौ","विभाषा+दिक्समासे+बहुव्रीहौ",
"11029","2045","222","न बहुव्रीहौ","न+बहुव्रीहौ",
"11030","1775","223","तृतीयासमासे","तृतीयासमासे",
"11031","1941","224","द्वन्द्वे च","द्वन्द्वे+च",
"11032","3202","225","विभाषा जसि","विभाषा+जसि",
"11036","240","220","अन्तरं बहिर्योगोपसंव्यानयोः","अन्तरं+बहिर्योगोपसंव्यानयोः",
"11040","1190","450","क्त्वातोसुन्कसुनः","क्त्वातोसुन्कसुनः",
"11042","3393","313","शि सर्वनामस्थानम्","शि+सर्वनामस्थानम्",
"11046","533","36","आद्यन्तौ टकितौ","आद्यन्तौ+टकितौ",
"11049","3487","38","षष्ठी स्थानेयोगा","षष्ठी+स्थानेयोगा",
"11054","528","44","आदेः परस्य","आदेः+परस्य",
"11055","226","45","अनेकाल्शित्सर्वस्य","अनेकाल्शित्+सर्वस्य",
"11057","44","50","अचः परस्मिन् पूर्वविधौ","अचः+परस्मिन्+पूर्वविधौ",
"11058","2040","51","न पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु","न+पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु",
"11060","127","53","अदर्शनं लोपः","अदर्शनं+लोपः",
"11061","2480","260","प्रत्ययस्य लुक्‌श्लुलुपः","प्रत्ययस्य+लुक्‌श्लुलुपः",
"11062","2478","262","प्रत्ययलोपे प्रत्ययलक्षणम्","प्रत्ययलोपे+प्रत्ययलक्षणम्",
"11074","1799","1336","त्यदादीनि च","त्यदादीनि+च",
"12001","1286","2461","गाङ्कुटादिभ्योऽञ्णिन्ङ् इत्","गाङ्-कुटादिभ्यः+अञ्णित्+ङित्",
"12006","685","3393","ईन्धिभवतिभ्यां च","ईन्धिभवतिभ्यां+च",
"12007","2795","3323","मृडमृदगुधकुषक्लिशवदवसः क्त्वा","मृडमृदगुधकुषक्लिशवदवसः+क्त्वा",
"12011","2988","2300","लिङ्सिचावात्मनेपदेषु","लिङ्-सिचौ+आत्मनेपदेषु",
"12013","3101","2700","वा गमः","वा+गमः",
"12014","3897","2697","हनः सिच्","हनः+सिच्",
"12017","3829","2389","स्था घ्वोरिच्च","स्था-घ्वोः+इत्+च",
"12018","2017","3322","न क्त्वा सेट्","न+क्त्वा+सेट्",
"12019","2208","3052","निष्ठा शीङ्स्विदिमिदिक्ष्विदिधृषः","निष्ठा+शीङ्-स्विदिमिदिक्ष्विदिधृषः",
"12022","2406","3051","पूङः क्त्वा च","पूङः+क्त्वा+च",
"12025","1777","3326","तृषिमृषिकृशेः काश्यपस्य","तृषिमृषिकृशेः+काश्यपस्य",
"12031","3645","7","समाहारः स्वरितः","समाहारः+स्वरितः",
"12033","885","3662","एकश्रुति दूरात् सम्बुद्धौ","एकश्रुति+दूरात्+सम्बुद्धौ",
"12036","3199","3665","विभाषा छन्दसि","विभाषा+छन्दसि",
"12040","734","3669","उदात्तस्वरितपरस्य सन्नतरः","उदात्तस्वरितपरस्य+सन्नतरः",
"12042","1602","745","तत्पुरुषः समानाधिकरणः कर्मधारयः","तत्पुरुषः+समानाधिकरणः+कर्मधारयः",
"12049","3003","1408","लुक् तद्धितलुकि","लुक्+तद्धितलुकि",
"12057","1071","1299","कालोपसर्जने च तुल्यम्","कालोपसर्जने+च+तुल्यम्",
"12067","2389","933","पुमान् स्त्रिया","पुमान्+स्त्रिया",
"12068","2709","934","भ्रातृपुत्रौ स्वसृदुहितृभ्याम्","भ्रातृपुत्रौ+स्वसृदुहितृभ्याम्",
"12070","2372","936","पिता मात्रा","पिता+मात्रा",
"12071","3465","937","श्वशुरः श्वश्र्वा","श्वशुरः+श्वश्र्वा",
"12073","1348","939","ग्राम्यपशुसंघेषु अतरुणेषु स्त्री","ग्राम्यपशुसंघेषु+अतरुणेषु+स्त्री",
"13004","2067","190","न विभक्तौ तुस्माः","न+विभक्तौ+तुस्माः",
"13006","3470","474","षः प्रत्ययस्य","षः+प्रत्ययस्य",
"13007","1425","189","चुटू","चुटू",
"13009","1701","62","तस्य लोपः","तस्य+लोपः",
"13013","2660","2679","भावकर्म्मणोः","भावकर्म्मणोः",
"13014","1004","2680","कर्त्तरि कर्म्मव्यतिहारे","कर्त्तरि+कर्म्मव्यतिहारे",
"13015","2020","2681","न गतिहिंसार्थेभ्यः","न+गतिहिंसार्थेभ्यः",
"13018","2320","2684","परिव्यवेभ्यः क्रियः","परिव्यवेभ्यः+क्रियः",
"13022","3627","2689","समवप्रविभ्यः स्थः","समवप्रविभ्यः+स्थः",
"13029","3656","2699","समो गम्यृच्छिप्रच्छिस्वरत्यर्तिश्रुविदिभ्यः","समः+गम्यृच्छि-प्रच्छि-स्वरत्यर्ति-श्रुविदिभ्यः",
"13032","1270","2705","गन्धनावक्षेपणसेवनसाहसिक्यप्रतियत्नप्रकथनोपयोगेषु कृञः","गन्धनावक्षेपणसेवनसाहसिक्य-प्रतियत्नप्रकथनोपयोगेषु+कृञः",
"13033","156","2706","अधेः प्रसहने","अधेः+प्रसहने",
"13034","3299","2707","वेः शब्दकर्म्मणः","वेः+शब्दकर्म्मणः",
"13036","3670","2709","सम्माननोत्सञ्जनाचार्यकरणज्ञानभृतिविगणनव्ययेषु नियः","सम्माननोत्सञ्जनाचार्यकरणज्ञानभृतिविगणनव्ययेषु+नियः",
"13038","3280","2711","वृत्तिसर्गतायनेषु क्रमः","वृत्तिसर्गतायनेषु+क्रमः",
"13039","764","2712","उपपराभ्याम्","उपपराभ्याम्",
"13041","3298","2714","वेः पादविहरणे","वेः+पादविहरणे",
"13044","286","2717","अपह्नवे ज्ञः","अपह्नवे+ज्ञः",
"13047","2667","2720","भासनोपसम्भाषाज्ञानयत्नविमत्युपमन्त्रणेषु वदः","भासनोपसम्भाषाज्ञानयत्नविमत्युपमन्त्रणेषु+वदः",
"13050","3223","2723","विभाषा विप्रलापे","विभाषा+विप्रलापे",
"13052","3620","2725","समः प्रतिज्ञाने","समः+प्रतिज्ञाने",
"13060","3356","2362","शदेः शितः","शदेः+शितः",
"13062","2422","2734","पूर्ववत् सनः","पूर्ववत्+सनः",
"13065","3619","2736","समः क्ष्णुवः","समः+क्ष्णुवः",
"13069","1303","2739","गृधिवञ्च्योः प्रलम्भने","गृधिवञ्च्योः+प्रलम्भने",
"13072","3876","2158","स्वरितञितः कर्त्रभिप्राये क्रियाफले","स्वरितञितः+कर्त्रभिप्राये+क्रियाफले",
"13078","3428","2159","शेषात् कर्तरि परस्मैपदम्","शेषात्+कर्तरि+परस्मैपदम्",
"13080","311","2746","अभिप्रत्यतिभ्यः क्षिपः","अभिप्रत्यतिभ्यः+क्षिपः",
"13086","2626","2752","बुधयुधनशजनेङ्प्रुद्रुस्रुभ्यो णेः","बुधयुधनशजनेङ्-प्रुद्रुस्रुभ्यः+णेः",
"13089","2042","2755","न पादम्याङ्यमाङ्यसपरिमुहरुचिनृतिवदवसः","न+पादम्याङ्यमाङ्यसपरिमुहरुचिनृतिवदवसः",
"13090","3100","2669","वा क्यषः","वा+क्यषः",
"13093","3011","2351","लुटि च कॢपः","लुटि+च+कॢपः",
"14003","2880","266","यू स्त्र्याख्यौ नदी","यू+स्त्र्याख्यौ+नदी",
"14006","1373","293","ङिति ह्रस्वश्च","ङिति+ह्रस्वश्+च",
"14011","3562","32","संयोगे गुरु","संयोगे+गुरु",
"14015","2082","2651","नः क्ये","नः+क्ये",
"14016","3734","2252","सिति च","सिति+च",
"14018","2810","231","यचि भम्","यचि+भम्",
"14019","1682","1896","तसौ मत्वर्थे","तसौ+मत्वर्थे",
"14021","2608","187","बहुषु बहुवचनम्","बहुषु+बहुवचनम्",
"14022","1985","186","द्व्येकयोर्द्विवचनैकवचने","द्व्-येकयोः+द्विवचनैकवचने",
"14023","1053","534","कारके","कारके",
"14030","1484","593","जनिकर्तुः प्रकृतिः","जनिकर्तुः+प्रकृतिः",
"14031","2683","594","भुवः प्रभवः","भुवः+प्रभवः",
"14043","1865","562","दिवः कर्म च","दिवः+कर्म+च",
"14048","805","544","उपान्वध्याङ्वसः","उपान्वध्याङ्वसः",
"14054","3864","559","स्वतन्त्रः कर्ता","स्वतन्त्रः+कर्ता",
"14058","2541","21","प्रादयः","प्रादयः",
"14059","780","22","उपसर्गाः क्रियायोगे","उपसर्गाः+क्रियायोगे",
"14063","517","764","आदरानादरयोः सदसती","आदरानादरयोः+सदसती",
"14066","963","767","कणेमनसी श्रद्धाप्रतीघाते","कणेमनसी+श्रद्धाप्रतीघाते",
"14069","61","770","अच्छ गत्यर्थवदेषु","अच्छ+गत्यर्थवदेषु",
"14072","3188","773","विभाषा कृञि","विभाषा+कृञि",
"14073","798","774","उपाजेऽन्वाजे","उपाजेऽन्वाजे",
"14074","3711","775","साक्षात्प्रभृतीनि च","साक्षात्प्रभृतीनि+च",
"14076","2731","777","मध्येपदेनिवचने च","मध्ये",
"14080","1780","2230","ते प्राग्धातोः","ते+प्राग्+धातोः",
"14083","1025","546","कर्मप्रवचनीयाः","कर्मप्रवचनीयाः",
"14085","1772","549","तृतीयाऽर्थे","तृतीयाऽर्थे",
"14086","3943","550","हीने","हीने",
"14088","277","596","अपपरी वर्जने","अपपरी+वर्जने",
"14089","483","597","आङ् मर्यादावचने","आङ्+मर्यादावचने",
"14090","2966","552","लक्षणेत्थम्भूताख्यानभागवीप्सासु प्रतिपर्यनवः","लक्षणेत्थम्भूताख्यानभागवीप्सासु+प्रतिपर्यनवः",
"14092","2461","599","प्रतिः प्रतिनिधिप्रतिदानयोः","प्रतिः+प्रतिनिधिप्रतिदानयोः",
"14093","150","554","अधिपरी अनर्थकौ","अधिपरी+अनर्थकौ",
"14094","3743","555","सुः पूजायाम्","सुः+पूजायाम्",
"14096","293","557","अपिः पदार्थसम्भावनान्ववसर्गगर्हासमुच्चयेषु","अपिः+पदार्थसम्भावनान्ववसर्गगर्हासमुच्चयेषु",
"14098","3189","646","विभाषा कृञि","विभाषा+कृञि",
"14099","2963","2155","लः परस्मैपदम्","लः+परस्मैपदम्",
"14103","3758","185","सुपः","सुपः",
"14108","3431","2165","शेषे प्रथमः","शेषे+प्रथमः",
"21001","3625","647","समर्थः पदविधिः","समर्थः+पदविधिः",
"21003","2518","648","प्राक् कडारात्‌ समासः","प्राक्+कडारात्‌+समासः",
"21004","3698","649","सह सुपा","सह+सुपा",
"21005","404","651","अव्ययीभावः","अव्ययीभावः",
"21006","400","652","अव्ययं विभक्तिसमीपसमृद्धिव्यृद्ध्यर्थाभावात्ययासम्प्रतिशब्दप्रादुर्भावपश्चाद्यथाऽऽनुपूर्व्ययौगपद्यसादृश्यसम्पत्तिसाकल्यान्तवचनेषु","अव्ययम्+विभक्तिसमीपसमृद्धि-व्यृद्‍ध्यर्थाभावात्ययासम्प्रति-शब्दप्रादुर्भावपश्चाद्यथाऽऽनुपूर्व्ययौगपद्यसादृश्य-सम्पत्तिसाकल्यान्तवचनेषु",
"21009","3764","663","सुप्प्रतिना मात्राऽर्थे","सुप्+प्रतिना+मात्राऽर्थे",
"21010","18","664","अक्षशलाकासंख्याः परिणा","अक्षशलाकासंख्याः+परिणा",
"21011","3182","665","विभाषा","विभाषा",
"21012","276","666","अपपरिबहिरञ्चवः पञ्चम्या","अपपरिबहिरञ्चवः+पञ्चम्या",
"21013","482","667","आङ् मर्यादाऽभिविध्योः","आङ्+मर्यादाऽभिविध्योः",
"21017","1739","671","तिष्ठद्गुप्रभृतीनि च","तिष्ठद्गुप्रभृतीनि+च",
"21018","2368","672","पारे मध्ये षष्ठ्या वा","पारे",
"21019","3508","673","संख्या वंश्येन","संख्या+वंश्येन",
"21022","1601","684","तत्पुरुषः","तत्पुरुषः",
"21024","1954","686","द्वितीया श्रितातीतपतितगतात्यस्तप्राप्तापन्नैः","द्वितीया+श्रितातीतपतितगतात्यस्तप्राप्तापन्नैः",
"21026","1247","688","खट्वा क्षेपे","खट्वा+क्षेपे",
"21027","3720","689","सामि","सामि",
"21028","1062","690","कालाः","कालाः",
"21029","120","691","अत्यन्तसंयोगे च","अत्यन्तसंयोगे+च",
"21031","2424","693","पूर्वसदृशसमोनार्थकलहनिपुणमिश्रश्लक्ष्णैः","पूर्वसदृशसमोनार्थकलहनिपुणमिश्रश्लक्ष्णैः",
"21036","1389","698","चतुर्थी तदर्थार्थबलिहितसुखरक्षितैः","चतुर्थी+तदर्थार्थबलिहितसुखरक्षितैः",
"21037","2260","699","पञ्चमी भयेन","पञ्चमी+भयेन",
"21039","3813","701","स्तोकान्तिकदूरार्थकृच्छ्राणि क्तेन","स्तोकान्तिकदूरार्थकृच्छ्राणि+क्तेन",
"21040","3606","717","सप्तमी शौण्डैः","सप्तमी+शौण्डैः",
"21042","2011","719","ध्वाङ्क्षेण क्षेपे","ध्वाङ्-क्षेण+क्षेपे",
"21044","3546","721","संज्ञायाम्‌","संज्ञायाम्",
"21046","1611","723","तत्र","तत्र",
"21047","1240","724","क्षेपे","क्षेपे",
"21049","2417","726","पूर्वकालैकसर्वजरत्पुराणनवकेवलाः समानाधिकरणेन","पूर्वकालैकसर्वजरत्पुराणनवकेवलाः+समानाधिकरणेन",
"21050","1859","727","दिक्संख्ये संज्ञायाम्‌","दिक्सङ्-ख्ये+संज्ञायाम्",
"21051","1651","728","तद्धितार्थोत्तरपदसमाहारे च","तद्धितार्थोत्तरपदसमाहारे+च",
"21053","1104","731","कुत्सितानि कुत्सनैः","कुत्सितानि+कुत्सनैः",
"21054","2363","732","पापाणके कुत्सितैः","पापाणके+कुत्सितैः",
"21055","769","733","उपमानानि सामान्यवचनैः","उपमानानि+सामान्यवचनैः",
"21059","3456","737","श्रेण्यादयः कृतादिभिः","श्रेण्यादयः+कृतादिभिः",
"21061","3597","739","सन्महत्परमोत्तमोत्कृष्टाः पूज्यमानैः","सन्महत्परमोत्तमोत्कृष्टाः+पूज्यमानैः",
"21063","968","741","कतरकतमौ जातिपरिप्रश्ने","कतरकतमौ+जातिपरिप्रश्ने",
"21065","2440","743","पोटायुवतिस्तोककतिपयगृष्टिधेनुवशावेहत्बष्कयणीप्रवक्तॄश्रोत्रियाध्यापकधूर्तैर्जातिः","पोटायुवतिस्तोककतिपयगृष्टिधेनुवशावेहद्वष्कयणीप्रवक्तॄ-श्रोत्रियाध्यापकधूर्तैः+जातिः",
"21067","2869","748","युवा खलतिपलितवलिनजरतीभिः","युवा+खलतिपलितवलिनजरतीभिः",
"21070","1109","751","कुमारः श्रमणाऽऽदिभिः","कुमारः+श्रमणाऽऽदिभिः",
"22004","2545","715","प्राप्तापन्ने च द्वितीयया","प्राप्तापन्ने+च+द्वितीयया",
"22005","1063","716","कालाः परिमाणिना","कालाः+परिमाणिना",
"22006","2095","756","नञ्‌","नञ्",
"22008","3483","702","षष्ठी","षष्ठी",
"22010","2037","704","न निर्धारणे","न+निर्धारणे",
"22011","2412","705","पूरणगुणसुहितार्थसदव्ययतव्यसमानाधिकरणेन","पूरणगुणसुहितार्थसदव्ययतव्यसमानाधिकरणेन",
"22013","144","707","अधिकरणवाचिना च","अधिकरणवाचिना+च",
"22014","1030","708","कर्म्मणि च","कर्म्मणि+च",
"22016","1005","710","कर्त्तरि च","कर्त्तरि+च",
"22018","1099","761","कुगतिप्रादयः","कुगतिप्रादयः",
"22022","1188","785","क्त्वा च","क्त्वा+च",
"22026","1861","845","दिङ्नामान्यन्तराले","दिङ्-नामानि+अन्तराले",
"22033","66","904","अजाद्यदन्तम्‌","अजाद्यदन्तम्",
"22034","372","905","अल्पाच्तरम्‌","अल्पाच्तरम्",
"22035","3609","898","सप्तमीविशेषणे बहुव्रीहौ","सप्तमीविशेषणे+बहुव्रीहौ",
"22036","2205","899","निष्ठा","निष्ठा",
"22038","962","751","कडाराः कर्मधराये","कडाराः+कर्मधराये",
"23001","177","536","अनभिहिते","अनभिहिते",
"23002","1013","537","कर्मणि द्वितीया","कर्मणि+द्वितीया",
"23004","243","545","अन्तराऽन्तरेण युक्ते","अन्तराऽन्तरेणयुक्ते",
"23006","283","563","अपवर्गे तृतीया","अपवर्गे+तृतीया",
"23007","3608","643","सप्तमीपञ्चम्यौ कारकमध्ये","सप्तमीपञ्चम्यौ+कारकमध्ये",
"23008","1024","548","कर्मप्रवचनीययुक्ते द्वितीया","कर्मप्रवचनीययुक्ते+द्वितीया",
"23010","2259","598","पञ्चमी अपाङ्परिभिः","पञ्चमी+अपाङ्-परिभिः",
"23013","1391","570","चतुर्थी सम्प्रदाने","चतुर्थी+सम्प्रदाने",
"23014","1207","581","क्रियार्थोपपदस्य च कर्मणि स्थानिनः","क्रियार्थोपपदस्य+च+कर्मणि+स्थानिनः",
"23021","636","566","इत्थंभूतलक्षणे","इत्थंभूतलक्षणे",
"23023","3957","568","हेतौ","हेतौ",
"23026","3488","607","षष्ठी हेतुप्रयोगे","षष्ठी+हेतुप्रयोगे",
"23028","290","587","अपादाने पञ्चमी","अपादाने+पञ्चमी",
"23029","261","595","अन्यारादितरर्त्तेदिक्‌शब्दाञ्चूत्तरपदाजाहियुक्ते","अन्यारादितरर्त्तेदिक्‌शब्दाञ्चूत्तरपदाजाहियुक्ते",
"23031","918","610","एनपा द्वितीया","एनपा+द्वितीया",
"23042","2261","639","पञ्चमी विभक्ते","पञ्चमी+विभक्ते",
"23045","2085","642","नक्षत्रे च लुपि","नक्षत्रे+च+लुपि",
"23046","2540","532","प्रातिपदिकार्थलिङ्गपरिमाणवचनमात्रे प्रथमा","प्रातिपदिकार्थलिङ्गपरिमाणवचनमात्रे+प्रथमा",
"23047","3666","533","सम्बोधने च","सम्बोधने+च",
"23050","3486","606","षष्ठी शेषे","षष्ठी+शेषे",
"23053","1135","614","कृञः प्रतियत्ने","कृञः+प्रतियत्ने",
"23055","581","616","आशिषि नाथः","आशिषि+नाथः",
"23057","3327","618","व्यवहृपणोः समर्थयोः","व्यवहृपणोः+समर्थयोः",
"23060","1953","3395","द्वितीया ब्राह्मणे","द्वितीया+ब्राह्मणे",
"23065","1001","623","कर्तृकर्मणोः कृति","कर्तृकर्मणोः+कृति",
"23066","811","624","उभयप्राप्तौ कर्मणि","उभयप्राप्तौ+कर्मणि",
"24008","1233","912","क्षुद्रजन्तवः","क्षुद्रजन्तवः",
"24011","1281","915","गवाश्वप्रभृतीनि च","गवाश्वप्रभृतीनि+च",
"24014","2030","918","न दधिपयआदीनि","न+दधिपयआदीनि",
"24015","148","919","अधिकरणैतावत्त्वे च","अधिकरणैतावत्त्वे+च",
"24016","3231","920","विभाषा समीपे","विभाषा+समीपे",
"24022","1473","825","छाया बाहुल्ये","छाया+बाहुल्ये",
"24023","3616","826","सभा राजाऽमनुष्यपूर्वा","सभा+राजाऽमनुष्यपूर्वा",
"24024","414","827","अशाला च","अशाला+च",
"24029","2927","814","रात्राह्नाहाः पुंसि","रात्राह्नाहाः+पुंसि",
"24031","355","816","अर्धर्चाः पुंसि च","अर्धर्चाः+पुंसि+च",
"24035","566","2632","आर्द्धधातुके","आर्द्धधातुके",
"24043","3006","2434","लुङि च","लुङि+च",
"24047","3592","2615","सनि च","सनि+च",
"24050","3221","2460","विभाषा लुङ्लृङोः","विभाषा+लुङ्लृङोः",
"24051","1590","2571","णौ च सँश्चङोः","णौ+च+सँश्चङोः",
"24055","3118","2437","वा लिटि","वा+लिटि",
"24057","3117","3292","वा यौ","वा+यौ",
"24061","2028","1086","न तौल्वलिभ्यः","न+तौल्वलिभ्यः",
"24066","2611","1148","बह्वचः इञः प्राच्यभरतेषु","बह्वचः+इञः+प्राच्यभरतेषु",
"24067","2022","1149","न गोपवनादिभ्यः","न+गोपवनादिभ्यः",
"24072","132","2423","अदिप्रभृतिभ्यः शपः","अदिप्रभृतिभ्यः+शपः",
"24075","1525","2489","जुहोत्यादिभ्यः श्लुः","जुहोत्यादिभ्यः+श्लुः",
"24077","1288","2223","गातिस्थाघुपाभूभ्यः सिचः परस्मैपदेषु","गातिस्थाघुपाभूभ्यः+सिचः+परस्मैपदेषु",
"24078","3194","2376","विभाषा घ्राधेट्शाच्छासः","विभाषा+घ्राधेट्-शाच्छासः",
"24081","550","2238","आमः","आमः",
"24085","3010","2188","लुटः प्रथमस्य डारौरसः","लुटः+प्रथमस्य+डारौरसः",
"31001","2477","180","प्रत्ययः","प्रत्ययः",
"31004","191","3709","अनुदत्तौ सुप्पितौ","अनुदत्तौ+सुप्पितौ",
"31008","3757","2657","सुप आत्मनः क्यच्","सुप+आत्मनः+क्यच्",
"31009","1051","2663","काम्यच्च","काम्यच्+च",
"31014","1041","2670","कष्टाय क्रमणे","कष्टाय+क्रमणे",
"31017","3360","2673","शब्दवैरकलहाभ्रकण्वमेघेभ्यः करणे","शब्दवैरकलहाभ्रकण्वमेघेभ्यः+करणे",
"31018","3747","2674","सुखादिभ्यः कर्तृवेदनायाम्","सुखादिभ्यः+कर्तृ+वेदनायाम्",
"31019","2123","2675","नमोवरिवश्चित्रङः क्यच्","नमोवरिवश्चित्रङः+क्यच्",
"31026","3954","2576","हेतुमति च","हेतुमति+च",
